year,player,pff_id,rush_grade,rec_grade,team
2017,Reggie Todd,227,,53.1,MISS STATE
2017,Traveon Samuel,210,,51.5,LOUISVILLE
2017,Cheyenne O'Grady,111,,72.1,ARKANSAS
2017,Joshua Palmer,307,,47.3,TENNESSEE
2017,Reuben Mwehla,185,,61.3,IDAHO
2017,Dimitri Flowers,261,,89.7,OKLAHOMA
2017,Tyron Billy-Johnson,262,,73.3,OKLA STATE
2017,Matthew Eaton,193,,68.4,IOWA STATE
2017,R.J. Tyler,136,,47.7,CHARLOTTE
2017,Ronald Cleveland,101,,66,AIR FORCE
2017,Aeris Williams,227,,56.7,MISS STATE
2017,Anthony D. Taylor,314,,55.3,TEXAS ST
2017,Stephen Baggett,156,,42.9,E CAROLINA
2017,Kano Dillon,327,,56.9,USF
2017,Artavis Pierce,265,,71.8,OREGON ST
2017,Micky Crum,210,,47.7,LOUISVILLE
2017,Mark Williams,225,,51.6,MINNESOTA
2017,Aaron Duckworth,185,,59,IDAHO
2017,Zy Letman,108,,69.4,APP STATE
2017,Deangelo Antoine,327,,66.8,USF
2017,Nate Wozniak,225,,47.6,MINNESOTA
2017,Maaseiah Francis,288,,34.8,S ALABAMA
2017,Dillon Birden,182,,61.7,HOUSTON
2017,Terelle West,224,,66.7,MIDDLE TN
2017,Billy Bob Humphreys,285,,49.6,S JOSE ST
2017,J.D. Moore,211,,57.2,LSU
2017,JaQuay Savage,138,,68,CINCINNATI
2017,Morgan Ellison,190,,59.8,INDIANA
2017,Klyde Chriss,312,,51.6,TEXAS A&M
2017,Nick Mathews,214,,65.3,MARSHALL
2017,Jeremy Kelly,285,,52.6,S JOSE ST
2017,Benny LeMay,136,,62.1,CHARLOTTE
2017,Nahshon Ellerbe,275,,42.4,RICE
2017,Isaiah Saunders,185,,58.9,IDAHO
2017,Joseph Wysocki,185,,53,IDAHO
2017,Kenedy Snell,305,,81.8,TCU
2017,Mason Petrino,185,,49.6,IDAHO
2017,Malike Roberson,285,,66.5,S JOSE ST
2017,Jante Boston,185,,53.4,IDAHO
2017,Jaqwis Dancy,208,,53.8,LA TECH
2017,K.C. Crosby,289,,54.5,S CAROLINA
2017,Mohamed Jabbie,278,,51.6,RUTGERS
2017,Tre Odoms-Dukes,327,,70.4,USF
2017,Connor Ketter,238,,40,NEBRASKA
2017,Kade Waguespack,101,,65.7,AIR FORCE
2017,Will Phillips,275,,50.2,RICE
2017,Leonard Skattebo,122,,59.4,BOWL GREEN
2017,Ruben Flowers III,268,,40.8,PITTSBURGH
2017,Nolan Borgersen,121,,52.8,BOSTON COL
2017,Austin Kafentzis,128,,58.4,BYU
2017,Quardraiz Wadley,330,,42.5,UTEP
2017,J.J. Wills,185,,60.2,IDAHO
2017,Earl Bostick Jr.,198,,65.4,KANSAS
2017,JJ Holloman,173,,67.9,GEORGIA
2017,Nathan Cottrell,176,,36.1,GA TECH
2017,Michael Garner,185,,52.2,IDAHO
2017,Monterio Hunt,214,,54.3,MARSHALL
2017,Rhett Blackman,316,,56.8,TOLEDO
2017,Erik Krommenhoek,326,,56.9,USC
2017,David Ducre,211,,54.5,LSU
2017,Forest McKee,330,,52.7,UTEP
2017,Drew Hmielewski,225,,48.4,MINNESOTA
2017,Dylan Thigpen,185,,63.9,IDAHO
2017,Joshua Shelmire,287,,56.3,SMU
2017,B.J. Casteel,109,,72.5,ARIZONA
2017,Chris High,237,,30.8,NAVY
2017,Kendall Smith,187,,52.4,ILLINOIS
2017,Jay Tyler,300,,52.4,STANFORD
2017,Donte Ross,201,,46.6,KENT STATE
2017,Ivan Wilson,208,,45.1,LA TECH
2017,Perry Carter,209,,52.5,LA MONROE
2017,Bobby Mitchell,165,,57.8,FAU
2017,Tyler Jaynes,118,,67,BAYLOR
2017,Markel Davis,259,,45.1,OHIO
2017,Ahmir Mitchell,278,,59.5,RUTGERS
2017,James Sriraman,339,,46,WAKE
2017,Benaiah Franklin,273,,58.1,PURDUE
2017,Austin Parker,262,,57.1,OKLA STATE
2017,Keyan Marshall,160,,59.5,E MICHIGAN
2017,Jack Banda,109,,62,ARIZONA
2017,Luke Hyde,185,,33.5,IDAHO
2017,Quantino Allen,265,,59.3,OREGON ST
2017,A.J. Sattinger,166,,43,FIU
2017,Jackson Tirmonia,256,,61.1,NWESTERN
2017,Berdale Robins,239,,58.1,NEVADA
2017,Rickey Shumway,128,,55.2,BYU
2017,Trevor Steinke,327,,54.3,USF
2017,Buddy Howell,165,,50.3,FAU
2017,Tristan Davis,122,,56.7,BOWL GREEN
2017,Allen Stritzinger,304,,61.4,SYRACUSE
2017,Tyler Fleetwood,221,,59.3,MIAMI OH
2017,Chris Gajcak,190,,53.9,INDIANA
2017,Kesean Gamble,201,,50.7,KENT STATE
2017,Jared Poplawski,143,,52.2,COLORADO
2017,Robert Ursua,331,,38.2,UTSA
2017,Keevon Harris,259,,44.6,OHIO
2018,Tyron Billy-Johnson,262,,69.7,OKLA STATE
2018,Moe Ways,130,,57.7,CAL
2018,Stephon Robinson Jr.,198,,59,KANSAS
2018,Royce Caldwell,242,,59.2,NEW MEX ST
2018,Cheyenne O'Grady,111,,87.5,ARKANSAS
2018,Matthew Eaton,193,,60.4,IOWA STATE
2018,Joshua Palmer,307,,68.3,TENNESSEE
2018,JJ Holloman,173,,62.8,GEORGIA
2018,Reese Taylor,190,,68.7,INDIANA
2018,Devante Peete,210,,58.6,LOUISVILLE
2018,Micky Crum,210,,55.5,LOUISVILLE
2018,Jayshon Jackson,138,,76.5,CINCINNATI
2018,Devin C. Butler,304,,53.8,SYRACUSE
2018,Malike Roberson,285,,67.2,S JOSE ST
2018,Ronald Cleveland,101,,76.9,AIR FORCE
2018,Benny LeMay,136,,73,CHARLOTTE
2018,Jabir Daughtry-Frye,318,,77.7,TROY
2018,Terelle West,224,,75.4,MIDDLE TN
2018,CJ Marable,141,,52.4,COAST CAR
2018,Jaqwis Dancy,208,,66.7,LA TECH
2018,Joshua Fleeks,118,,56.8,BAYLOR
2018,Sitaleki Nunn,285,,55.3,S JOSE ST
2018,Artavis Pierce,265,,76.4,OREGON ST
2018,Kade Waguespack,101,,57.2,AIR FORCE
2018,K.C. Crosby,289,,56.2,S CAROLINA
2018,Quardraiz Wadley,330,,64.9,UTEP
2018,Aeris Williams,227,,56.5,MISS STATE
2018,Shemar Thornton,166,,63.6,FIU
2018,Chase Brown,347,,71.7,W MICHIGAN
2018,Anthony D. Taylor,314,,55.9,TEXAS ST
2018,Dorian Hendrix,122,,75.2,BOWL GREEN
2018,Billy Bob Humphreys,285,,30.6,S JOSE ST
2018,Brayden Lenius,241,,63.3,NEW MEXICO
2018,Kyle Groeneweg,192,,54.4,IOWA
2018,Luke Shiflett,224,,59.5,MIDDLE TN
2018,Xavier Smith,156,,90.5,E CAROLINA
2018,Deangelo Antoine,327,,61.9,USF
2018,Rhett Blackman,316,,61.8,TOLEDO
2018,Keke McFadden,201,,63.4,KENT STATE
2018,Mohamed Jabbie,278,,49.9,RUTGERS
2018,Pokey Wilson,167,,55.8,FLORIDA ST
2018,Maurice Mayo,288,,58.6,S ALABAMA
2018,Daishawn Brimage,102,,52.1,AKRON
2018,Traveon Samuel,318,,66.1,TROY
2018,R.J. Tyler,136,,54.9,CHARLOTTE
2018,D'Angelo Ellis,275,,76.5,RICE
2018,Cameron Sullivan-Brown,266,,58.5,PENN STATE
2018,Treveon Johnson,287,,61.2,SMU
2018,D'Shawn Jamison,311,,59.2,TEXAS
2018,Erik Krommenhoek,326,,48.8,USC
2018,Cole Fagan,101,,59.6,AIR FORCE
2018,Kris Reed,296,,59.1,SO MISS
2018,Jake McCurry,222,,74.8,MICHIGAN
2018,Quantino Allen,265,,59,OREGON ST
2018,William Crest Jr.,343,,45.4,W VIRGINIA
2018,Caperton Humphrey,198,,81.8,KANSAS
2018,Jelani Roberts,256,,60.9,NWESTERN
2018,Mandela Lawrence-Burke,201,,55,KENT STATE
2018,Devon Jackson,224,,51.8,MIDDLE TN
2018,Jared Wangler,222,,51.7,MICHIGAN
2018,R.J. Raymond,163,,44.3,FLORIDA
2018,Andre Hunt,238,,46.1,NEBRASKA
2018,Harry Schwartz,300,,54.4,STANFORD
2018,Ty Watkins,224,,51.6,MIDDLE TN
2018,Duran Bell Jr.,327,,45.2,USF
2018,Mitchell Lewis,206,,55.3,LIBERTY
2018,Ja'Kori Morgan,182,,52.5,HOUSTON
2018,Jordan Byrd,284,,52,S DIEGO ST
2018,Isiah Pannunzio,144,,41,COLO STATE
2018,Taven Birdow,101,,62.7,AIR FORCE
2018,Tyler Fleetwood,221,,51.7,MIAMI OH
2018,Tre Odoms-Dukes,327,,59.6,USF
2018,Trevis Graham ,314,,53.4,TEXAS ST
2018,Damien Darden,248,,47.5,NC STATE
2018,Chase Gianacakos,223,,49,MICH STATE
2018,Elijah Davis,263,,30.6,DOMINION
2018,AC White,263,,59,DOMINION
2018,Braden Collins,108,,51.8,APP STATE
2018,Tre Adams,109,,50.7,ARIZONA
2018,Bryce Bramscher,265,,57,OREGON ST
2018,Brian Sanders,122,,31.5,BOWL GREEN
2018,Tajudeen Mustapha,349,,74,WISCONSIN
2018,CJ Fletcher,209,,55.6,LA MONROE
2018,Jaquavis Dixon,102,,48.3,AKRON
2018,Chris Gajcak,190,,56.8,INDIANA
2018,Maaseiah Francis,288,,54.9,S ALABAMA
2018,Cade Hackey,241,,55.9,NEW MEXICO
2018,Markel Davis,259,,45.9,OHIO
2018,Colin Debord,122,,53.6,BOWL GREEN
2018,Cooper McCaw,206,,46.3,LIBERTY
2018,Michael Smith,268,,47.1,PITTSBURGH
2018,Tyler Hayek,278,,57.8,RUTGERS
2018,Keevon Harris,259,,56.9,OHIO
2018,Ishod Byarm,136,,58.5,CHARLOTTE
2018,Austin Ahrendt,305,,59.5,TCU
2018,Luke Benzschawel,349,,60,WISCONSIN
2018,Tobias Enlow,111,,56.7,ARKANSAS
2018,K.K. Hahn,304,,57.7,SYRACUSE
2018,Michael Queen,108,,57.1,APP STATE
2018,Brian Dooley,160,,77.2,E MICHIGAN
2018,Mikey Alfieri,265,,60.8,OREGON ST
2018,Hunter Hill,218,,54,MEMPHIS
2018,Brandon Mitchell,102,,44.3,AKRON
2018,Jalen Jordan,278,,48.3,RUTGERS
2018,Lemar Harris,160,,39.9,E MICHIGAN
