year,player,pff_id,rush_grade,rec_grade,team
2023,Joey Bearns III,136,65,53.9,CHARLOTTE
2023,Josiah Gonzales,324,56.9,,UCLA
2023,OJ Hiliare,122,66.5,70.3,BOWL GREEN
2023,Joshua Nicholson,284,63,53.8,S DIEGO ST
2023,Jairus Mack,136,57.6,70.5,CHARLOTTE
2023,Raymond Banner,224,55.8,,MIDDLE TN
2023,Tristen Rigby,140,70.7,,CLEMSON
2023,Jovoni Johnson-McCray,275,59.7,51.4,RICE
2023,Moochie Dixon,287,57.5,71.5,SMU
2023,Luke Doty,289,63.7,56.7,S CAROLINA
2023,Christopher Frew,101,59.6,,AIR FORCE
2024,Quintrevion Wisner,311,85.0,63.6,TEXAS
2024,Jo'quavioius Marks,326,85.9,72.5,USC
2024,Bill Davis,207,75.8,55.7,LA LAFAYET
2024,Jay Ducker,281,76.8,70.6,SM HOUSTON
2024,Kay'Ron Lynch-Adams,223,82.7,68.3,MICH STATE
2024,Demie Sumo-Karngbaye,202,84.5,58.9,KENTUCKY
2024,CJ Hester,216,71.7,58.9,UMASS
2024,Mel Brown,146,71.5,62.2,UCONN
2024,Hahsaun Wilson,136,77.3,59.9,CHARLOTTE
2024,Amani Givens,208,71.3,62.5,LA TECH
2024,Christopher Frew,101,73.8,54.9,AIR FORCE
2024,Cam'ron Barfield,180,71.9,64.5,HAWAII
2024,Tylor Latham,101,57.8,85.1,AIR FORCE
2024,Chip Trayanum,202,78.3,52.5,KENTUCKY
2024,EJ Wilson Jr.,306,58.8,62.6,TEMPLE
2024,Chauncey Bowens,173,70.6,55.8,GEORGIA
2024,Amin Hassan,237,55.5,57.1,NAVY
2024,Juwaun Price,251,66.9,46.2,N TEXAS
2024,Anthony Brown-Stephens,202,65.5,66.2,KENTUCKY
2024,Brock Lampe,254,69.9,62.5,N ILLINOIS
2024,Trey Cooley,176,61.7,61.4,GA TECH
2024,Mark Anthony Scott Jr.,126,61.0,65.8,BUFFALO
2024,Fredrick Moore,222,62.2,65.5,MICHIGAN
2024,Hunter Andrews,328,44.5,,UTAH
